customer_id,customer_name,city,area,signup_date,signup_source,customer_tier
CUST_00001,Customer 1,Dubai,Corniche,2025-05-03 16:26:48.377382,Paid Ads,VIP
CUST_00002,Customer 2,Ajman,Deira,2025-02-17 14:10:21.377382,Organic,VIP
CUST_00003,Customer 3,Abu Dhabi,JBR,2025-08-09 21:17:22.377382,Organic,VIP
CUST_00004,Customer 4,Abu Dhabi,Business Bay,2025-03-13 12:41:46.377382,Social Media,VIP
CUST_00005,Customer 5,Dubai,Downtown,2025-03-20 00:32:24.377382,Organic,VIP
CUST_00006,Customer 6,Dubai,Al Reem,2025-01-01 04:32:43.377382,Referral,VIP
CUST_00007,Customer 7,Dubai,JLT,2025-01-25 16:13:17.377382,Social Media,VIP
CUST_00008,Customer 8,Sharjah,Marina,2024-08-01 22:06:22.377382,Paid Ads,New
CUST_00009,Customer 9,Abu Dhabi,Downtown,2024-07-24 07:24:17.377382,Referral,VIP
CUST_00010,Customer 10,Abu Dhabi,Deira,2025-05-07 09:34:21.377382,Referral,Regular
CUST_00011,Customer 11,Dubai,Al Reem,2025-12-05 11:08:34.377382,Referral,New
CUST_00012,Customer 12,Ajman,JLT,2025-11-15 22:36:58.377382,Social Media,VIP
CUST_00013,Customer 13,Sharjah,Deira,2024-12-12 02:48:21.377382,Organic,Loyal
CUST_00014,Customer 14,Dubai,Marina,2025-10-23 15:57:05.377382,Referral,Regular
CUST_00015,Customer 15,Dubai,Yas Island,2024-12-29 14:32:40.377382,Organic,New
CUST_00016,Customer 16,Dubai,JBR,2025-02-07 11:57:53.377382,Organic,Regular
CUST_00017,Customer 17,Dubai,Yas Island,2025-03-23 04:57:53.377382,Referral,New
CUST_00018,Customer 18,Abu Dhabi,JLT,2025-02-19 07:57:01.377382,Organic,Loyal
CUST_00019,Customer 19,Dubai,Yas Island,2024-10-03 08:59:34.377382,Social Media,Regular
CUST_00020,Customer 20,Dubai,JLT,2025-01-21 00:46:19.377382,Social Media,Regular
CUST_00021,Customer 21,Abu Dhabi,Business Bay,2024-10-15 22:42:48.377382,Paid Ads,New
CUST_00022,Customer 22,Dubai,Business Bay,2024-07-15 07:43:51.377382,Organic,New
CUST_00023,Customer 23,Dubai,Al Majaz,2024-09-30 02:47:39.377382,Organic,Loyal
CUST_00024,Customer 24,Dubai,Al Majaz,2025-12-08 23:17:49.377382,Paid Ads,VIP
CUST_00025,Customer 25,Dubai,Yas Island,2024-08-07 10:46:30.377382,Social Media,New
CUST_00026,Customer 26,Sharjah,Corniche,2025-08-26 09:42:49.377382,Paid Ads,New
CUST_00027,Customer 27,Dubai,Yas Island,2025-11-07 08:27:47.377382,Paid Ads,New
CUST_00028,Customer 28,Abu Dhabi,Yas Island,2025-06-02 16:20:32.377382,Paid Ads,Loyal
CUST_00029,Customer 29,Abu Dhabi,Corniche,2025-07-02 02:34:06.377382,Organic,VIP
CUST_00030,Customer 30,Dubai,JBR,2024-07-31 01:16:22.377382,Organic,VIP
CUST_00031,Customer 31,Abu Dhabi,Al Reem,2024-09-03 16:16:08.377382,Organic,Loyal
CUST_00032,Customer 32,Dubai,Corniche,2025-11-03 23:03:24.377382,Organic,VIP
CUST_00033,Customer 33,Dubai,JLT,2024-12-27 20:18:08.377382,Referral,Regular
CUST_00034,Customer 34,Ajman,Al Reem,2025-11-23 16:29:24.377382,Paid Ads,Loyal
CUST_00035,Customer 35,Ajman,Marina,2025-12-18 08:05:08.377382,Paid Ads,New
CUST_00036,Customer 36,Sharjah,JBR,2025-12-23 17:12:47.377382,Organic,VIP
CUST_00037,Customer 37,Dubai,Marina,2024-09-30 00:46:31.377382,Social Media,Regular
CUST_00038,Customer 38,Dubai,Al Majaz,2025-07-31 15:50:29.377382,Referral,Loyal
CUST_00039,Customer 39,Abu Dhabi,Downtown,2025-09-10 23:47:12.377382,Referral,Loyal
CUST_00040,Customer 40,Dubai,Business Bay,2025-03-09 20:06:55.377382,Social Media,New
CUST_00041,Customer 41,Dubai,Marina,2025-01-07 19:04:42.377382,Organic,New
CUST_00042,Customer 42,Dubai,Deira,2025-08-19 10:52:27.377382,Referral,Loyal
CUST_00043,Customer 43,Dubai,Yas Island,2025-01-08 01:46:05.377382,Referral,Regular
CUST_00044,Customer 44,Sharjah,JLT,2024-12-16 19:35:38.377382,Paid Ads,New
CUST_00045,Customer 45,Dubai,Marina,2025-11-18 06:23:59.377382,Paid Ads,Loyal
CUST_00046,Customer 46,Abu Dhabi,Marina,2025-03-11 10:40:55.377382,Organic,Loyal
CUST_00047,Customer 47,Dubai,Downtown,2025-11-10 23:33:49.377382,Organic,New
CUST_00048,Customer 48,Abu Dhabi,Al Majaz,2025-11-17 07:32:10.377382,Paid Ads,VIP
CUST_00049,Customer 49,Abu Dhabi,Yas Island,2025-01-29 08:44:27.377382,Paid Ads,Regular
CUST_00050,Customer 50,Dubai,Yas Island,2024-07-24 03:01:47.377382,Paid Ads,VIP
CUST_00051,Customer 51,Ajman,Downtown,2025-01-07 00:01:10.377382,Social Media,VIP
CUST_00052,Customer 52,Sharjah,Corniche,2025-12-26 09:38:27.377382,Referral,Regular
CUST_00053,Customer 53,Ajman,Downtown,2025-02-25 18:43:43.377382,Organic,Regular
CUST_00054,Customer 54,Sharjah,Deira,2025-04-10 05:13:56.377382,Organic,New
CUST_00055,Customer 55,Abu Dhabi,Al Reem,2025-10-11 10:56:53.377382,Social Media,New
CUST_00056,Customer 56,Sharjah,Deira,2025-04-13 23:09:57.377382,Paid Ads,New
CUST_00057,Customer 57,Dubai,Downtown,2024-07-24 03:45:43.377382,Referral,Regular
CUST_00058,Customer 58,Dubai,Business Bay,2025-09-28 08:59:09.377382,Paid Ads,VIP
CUST_00059,Customer 59,Dubai,Corniche,2024-07-25 05:51:29.377382,Organic,Regular
CUST_00060,Customer 60,Dubai,Business Bay,2025-05-12 20:21:38.377382,Social Media,New
CUST_00061,Customer 61,Dubai,Deira,2025-03-23 04:30:32.377382,Referral,VIP
CUST_00062,Customer 62,Dubai,Yas Island,2024-10-27 03:21:05.377382,Referral,New
CUST_00063,Customer 63,Sharjah,Deira,2024-09-12 23:08:45.377382,Referral,VIP
CUST_00064,Customer 64,Dubai,JBR,2025-07-03 22:50:01.377382,Referral,New
CUST_00065,Customer 65,Dubai,Al Majaz,2024-08-18 16:10:45.377382,Social Media,Regular
CUST_00066,Customer 66,Abu Dhabi,JLT,2025-01-25 08:09:32.377382,Organic,Loyal
CUST_00067,Customer 67,Dubai,JBR,2025-01-31 17:51:46.377382,Referral,Loyal
CUST_00068,Customer 68,Sharjah,Downtown,2025-12-19 07:36:19.377382,Referral,VIP
CUST_00069,Customer 69,Dubai,Marina,2025-06-14 21:59:31.377382,Organic,Regular
CUST_00070,Customer 70,Ajman,Business Bay,2025-11-22 07:02:34.377382,Paid Ads,New
CUST_00071,Customer 71,Sharjah,Al Reem,2024-09-08 03:22:06.377382,Referral,VIP
CUST_00072,Customer 72,Dubai,JBR,2025-05-19 04:54:46.377382,Referral,VIP
CUST_00073,Customer 73,Dubai,Corniche,2025-10-25 22:23:19.377382,Paid Ads,New
CUST_00074,Customer 74,Sharjah,Business Bay,2025-06-10 14:17:46.377382,Organic,New
CUST_00075,Customer 75,Abu Dhabi,JBR,2025-08-23 17:58:51.377382,Organic,New
CUST_00076,Customer 76,Abu Dhabi,Yas Island,2025-03-22 04:34:28.377382,Referral,Regular
CUST_00077,Customer 77,Sharjah,JLT,2024-11-26 23:46:28.377382,Organic,Loyal
CUST_00078,Customer 78,Dubai,Deira,2024-08-19 13:55:12.377382,Paid Ads,VIP
CUST_00079,Customer 79,Dubai,Deira,2024-11-29 21:06:02.377382,Social Media,VIP
CUST_00080,Customer 80,Dubai,JBR,2024-10-29 09:53:18.377382,Paid Ads,Loyal
CUST_00081,Customer 81,Sharjah,Downtown,2025-04-10 07:24:07.377382,Paid Ads,VIP
CUST_00082,Customer 82,Abu Dhabi,Corniche,2024-09-09 19:55:08.377382,Social Media,Regular
CUST_00083,Customer 83,Dubai,Downtown,2024-10-17 20:55:55.377382,Paid Ads,New
CUST_00084,Customer 84,Dubai,Business Bay,2025-10-15 06:59:28.377382,Referral,Loyal
CUST_00085,Customer 85,Dubai,Al Majaz,2025-03-23 17:27:56.377382,Referral,Regular
