item_id,order_id,item_name,quantity,unit_price,item_total
ITEM_0000001,ORD_000806,Wrap,1,26.3,26.3
ITEM_0000002,ORD_012697,Pasta,3,14.9,44.7
ITEM_0000003,ORD_007698,Wrap,3,66.96,200.88
ITEM_0000004,ORD_020925,Wrap,2,74.93,149.86
ITEM_0000005,ORD_011117,Pasta,3,71.35,214.04999999999998
ITEM_0000006,ORD_006066,Salad,3,70.63,211.89
ITEM_0000007,ORD_019490,Salad,2,44.13,88.26
ITEM_0000008,ORD_017433,Pasta,3,15.2,45.599999999999994
ITEM_0000009,ORD_007472,Pizza,1,47.62,47.62
ITEM_0000010,ORD_009157,Burger,1,75.8,75.8
ITEM_0000011,ORD_021545,Pasta,1,62.94,62.94
ITEM_0000012,ORD_022944,Salad,3,17.53,52.59
ITEM_0000013,ORD_010155,Wrap,2,18.46,36.92
ITEM_0000014,ORD_018267,Burger,2,34.54,69.08
ITEM_0000015,ORD_003112,Pasta,1,79.3,79.3
ITEM_0000016,ORD_014116,Wrap,3,13.38,40.14
ITEM_0000017,ORD_005447,Pizza,3,17.09,51.269999999999996
ITEM_0000018,ORD_018325,Wrap,2,29.05,58.1
ITEM_0000019,ORD_022989,Pasta,2,12.81,25.62
ITEM_0000020,ORD_011724,Wrap,3,62.37,187.10999999999999
ITEM_0000021,ORD_011708,Salad,1,39.5,39.5
ITEM_0000022,ORD_015559,Pasta,1,51.99,51.99
ITEM_0000023,ORD_000464,Wrap,2,42.58,85.16
ITEM_0000024,ORD_015121,Salad,2,16.39,32.78
ITEM_0000025,ORD_022234,Pizza,2,24.33,48.66
ITEM_0000026,ORD_009046,Wrap,3,32.01,96.03
ITEM_0000027,ORD_002571,Wrap,1,46.69,46.69
ITEM_0000028,ORD_023215,Pizza,1,33.48,33.48
ITEM_0000029,ORD_023539,Wrap,1,37.21,37.21
ITEM_0000030,ORD_017209,Burger,2,65.71,131.42
ITEM_0000031,ORD_022440,Pizza,3,18.28,54.84
ITEM_0000032,ORD_005057,Pizza,1,24.29,24.29
ITEM_0000033,ORD_002325,Pizza,3,13.28,39.839999999999996
ITEM_0000034,ORD_015383,Pasta,3,57.49,172.47
ITEM_0000035,ORD_001548,Pizza,1,16.31,16.31
ITEM_0000036,ORD_000701,Pizza,2,26.9,53.8
ITEM_0000037,ORD_009672,Pasta,3,50.59,151.77
ITEM_0000038,ORD_001737,Salad,2,20.8,41.6
ITEM_0000039,ORD_019883,Biryani,3,79.68,239.04000000000002
ITEM_0000040,ORD_019695,Salad,2,45.07,90.14
ITEM_0000041,ORD_014944,Pizza,1,38.45,38.45
ITEM_0000042,ORD_006988,Wrap,2,72.85,145.7
ITEM_0000043,ORD_014140,Wrap,2,76.94,153.88
ITEM_0000044,ORD_002361,Burger,3,61.68,185.04
ITEM_0000045,ORD_021114,Biryani,3,49.33,147.99
ITEM_0000046,ORD_002116,Burger,2,12.79,25.58
ITEM_0000047,ORD_011568,Burger,2,26.19,52.38
ITEM_0000048,ORD_016865,Salad,1,11.78,11.78
ITEM_0000049,ORD_011504,Wrap,2,64.34,128.68
ITEM_0000050,ORD_024691,Pasta,1,71.53,71.53
ITEM_0000051,ORD_008071,Wrap,1,14.74,14.74
ITEM_0000052,ORD_011585,Pasta,2,43.69,87.38
ITEM_0000053,ORD_005589,Wrap,1,69.17,69.17
ITEM_0000054,ORD_001841,Pasta,3,27.7,83.1
ITEM_0000055,ORD_001676,Pizza,3,32.72,98.16
ITEM_0000056,ORD_016189,Biryani,3,41.88,125.64000000000001
ITEM_0000057,ORD_010748,Biryani,2,71.89,143.78
ITEM_0000058,ORD_008167,Pasta,2,68.29,136.58
ITEM_0000059,ORD_018347,Biryani,1,31.85,31.85
ITEM_0000060,ORD_021106,Burger,3,67.02,201.06
ITEM_0000061,ORD_023409,Salad,2,10.97,21.94
ITEM_0000062,ORD_017898,Salad,1,38.96,38.96
ITEM_0000063,ORD_010803,Burger,2,49.11,98.22
ITEM_0000064,ORD_015220,Burger,3,10.57,31.71
ITEM_0000065,ORD_014197,Pizza,1,54.24,54.24
ITEM_0000066,ORD_023337,Pasta,3,17.21,51.63
ITEM_0000067,ORD_011656,Salad,2,78.01,156.02
