order_id,customer_id,restaurant_id,order_datetime,order_status,gross_amount,discount_amount,delivery_fee,promo_code,payment_method,net_amount,cancellation_reason
ORD_000001,CUST_05110,REST_0329,2025-11-25 13:22:13.447894,In Progress,270.02,33.41,10,SAVE10,Card,236.60999999999999,
ORD_000002,CUST_08249,REST_0297,2025-10-18 16:57:30.447894,Delivered,376.24,13.57,10,,Card,362.67,
ORD_000003,CUST_06125,REST_0203,2025-12-29 06:57:25.447894,Delivered,63.76,0.08,10,FREESHIP,Wallet,63.68,
ORD_000004,CUST_06326,REST_0133,2025-12-27 08:31:55.447894,Delivered,63.89,26.94,15,,Card,36.95,
ORD_000005,CUST_06308,REST_0437,2025-10-21 13:19:49.447894,Delivered,380.58,2.57,5,NEWUSER,Card,378.01,
ORD_000006,CUST_01913,REST_0422,2025-11-24 09:21:57.447894,In Progress,462.43,40.87,15,NEWUSER,Card,421.56,
ORD_000007,CUST_04222,REST_0116,2025-10-17 07:13:42.447894,Delivered,308.16,40.42,15,NEWUSER,Card,267.74,
ORD_000008,CUST_07375,REST_0480,2025-12-06 06:11:49.447894,Delivered,47.94,6.03,0,,Cash,41.91,
ORD_000009,CUST_00267,REST_0093,2025-12-12 22:31:58.447894,Delivered,242.36,47.63,5,FREESHIP,Card,194.73000000000002,
ORD_000010,CUST_03483,REST_0102,2025-11-29 13:02:15.447894,Delivered,368.62,20.13,15,FREESHIP,Card,348.49,
ORD_000011,CUST_09873,REST_0360,2025-12-08 13:05:30.447894,Delivered,326.94,27.95,10,SAVE10,Card,298.99,
ORD_000012,CUST_01532,REST_0348,2025-10-08 21:40:29.447894,Delivered,123.15,37.52,15,NEWUSER,Wallet,85.63,
ORD_000013,CUST_04565,REST_0437,2025-10-11 11:41:25.447894,Delivered,54.97,9.51,5,,Card,45.46,
ORD_000014,CUST_04229,REST_0472,2025-10-27 21:52:08.447894,Delivered,447.97,0.53,0,FREESHIP,Card,447.44000000000005,
ORD_000015,CUST_07156,REST_0440,2025-12-20 08:52:23.447894,Cancelled,136.16,36.9,15,FREESHIP,Cash,99.25999999999999,Item Unavailable
ORD_000016,CUST_09212,REST_0275,2025-12-22 16:21:05.447894,Delivered,498.01,39.54,5,NEWUSER,Cash,458.46999999999997,
